Plot,Northing_i,Easting_i,Northing_1,Easting_1,Northing_3,Easting_3,Northing_5,Easting_5,Northing_10,Easting_10,Northing_15,Easting_15,Biomass
1,5005715.3,520430.9,5005715.75,520430.9,5005713.61,520431.4,5005712.18,520429.1,5005721.39,520435.97,5005725.34,520417.02,128.5611452
8,5005870.6,520571.6,5005871.29,520571.34,5005869.64,520571.95,5005868.58,520571.1,5005862.92,520578.19,5005871.82,520564.72,112.9709002
11,5005064.2,520490.4,5005064.12,520490.14,5005061.59,520491.95,5005063.6,520488.28,5005064.03,520496.81,5005074.53,520494,78.86475072
13,5005060.7,520771.2,5005061.51,520770.7,5005060.31,520769.4,5005064.29,520767.53,5005068.26,520764.49,5005069.59,520772.22,65.19459093
15,5005202,520696.3,5005201.93,520697.3,5005201.47,520693.81,5005197.25,520700.88,5005201.02,520703.64,5005206.1,520699.09,134.5995626
17,5005358.7,520845.1,5005358.68,520844.84,5005359.4,520847.17,5005354.92,520847.91,5005355.69,520846.39,5005349.96,520846.21,104.8411369
18,5005363.8,520548.2,5005364.28,520548.9,5005366.64,520550.03,5005364.38,520549.75,5005361.74,520540.55,5005360.85,520556.52,79.14066902
20,5005508.8,520695,5005508.65,520694.47,5005506.04,520697.35,5005507.8,520693.38,5005516.2,520688.12,5005517.47,520700.64,109.9798031
22,5006328.6,519737,5006328.04,519737.06,5006327.6,519734.95,5006332.15,519732.98,5006333.81,519743.69,5006314.76,519733.43,0
23,5006335.3,519654.1,5006336.16,519653.62,5006333.42,519654.04,5006338.65,519656.5,5006328.19,519649.89,5006332.86,519668.56,0
24,5005581,519653.2,5005581.81,519653.21,5005583.87,519651.69,5005584.39,519652.9,5005576.89,519645.55,5005593.54,519643.63,110.2880046
27,5005070.2,520101.6,5005071.04,520102.08,5005071.08,520102.75,5005073.53,520097.29,5005070.64,520103.84,5005085.07,520100.31,128.9020667
29,5006023.9,520665.3,5006022.93,520664.76,5006021.24,520666.67,5006028.29,520669.31,5006027.38,520665.51,5006017.92,520672.44,80.37966475
30,5005889,520838.2,5005888.27,520837.87,5005888.13,520838.99,5005887.67,520839.59,5005888.85,520847.85,5005889.61,520827.73,141.9194666
31,5005621.8,520839.2,5005621.31,520838.86,5005620.81,520841.82,5005619.3,520841.49,5005616.22,520847.03,5005624.93,520826.1,92.69582263
32,5005759.6,520666.7,5005759.27,520665.72,5005758.48,520664.78,5005755.61,520664.51,5005758.4,520671.65,5005749.85,520654.92,87.13959641
33,5006166.8,520502.7,5006167.3,520503.48,5006166.58,520501.79,5006164.74,520506.11,5006162.82,520500.3,5006153.98,520507.34,45.52123725
34,5005210,520329.8,5005210.47,520330.29,5005208.7,520332.4,5005209.64,520326.77,5005215.79,520325.53,5005219.8,520319.1,123.8635389
35,5004938.2,520002.6,5004939.17,520002.71,5004938.56,520001.14,5004935.86,520006.64,5004937.67,520006.04,5004946.23,519997.88,48.89028634
36,5005339.8,519836.4,5005340.2,519836.08,5005339.27,519836.62,5005340.16,519831.74,5005335.24,519840.3,5005330.16,519832.41,95.09834812
37,5005623.9,519498.8,5005624.69,519498.61,5005623.78,519496.68,5005624.55,519500.6,5005615.19,519507.04,5005634.38,519483.86,130.344988
39,5005350,520167.3,5005349.13,520168.28,5005351.65,520170.06,5005354.08,520165.95,5005348.23,520161.7,5005362.64,520159.36,91.00513573
40,5005479.8,520333,5005479.83,520332.2,5005480.78,520335.37,5005484.32,520330.96,5005475.71,520323.36,5005479.3,520331.76,62.86025926
41,5005618.4,520168.9,5005618.7,520169.42,5005619.35,520171.55,5005614.67,520173.9,5005624.22,520166.99,5005617.4,520156.37,104.2707596
42,5005752.8,520002.3,5005753.13,520002.5,5005751.17,520000.05,5005749.66,520005.54,5005758.92,519996.18,5005749.73,520010.11,58.03255488
43,5005888.4,519832.2,5005889.28,519833.17,5005887.36,519832.42,5005889.75,519832.85,5005887.12,519826.32,5005884.76,519827.12,105.1396023
45,5006163.6,520164,5006164.36,520163.93,5006166.19,520163.88,5006162,520161.89,5006171.51,520160.87,5006165.55,520166.25,160.6295975
46,5006032.2,520328.1,5006032.65,520329.05,5006032.87,520327.4,5006034.48,520325.04,5006037.27,520326.96,5006030.21,520317.38,162.8700833
47,5006569.6,520327.4,5006570.25,520327.46,5006568.08,520324.75,5006567.55,520324.01,5006576.56,520333.62,5006556.2,520315.65,30.56260199
49,5006572.5,519996.1,5006572.91,519995.14,5006569.75,519998.57,5006567.96,519998.97,5006575.98,520002.48,5006569.07,519982.86,103.9267858
50,5006309.9,520019.5,5006308.91,520020.49,5006309.77,520018.92,5006309.8,520020.36,5006310.71,520015.54,5006319.72,520017.33,79.01178411
51,5006427.5,520160.1,5006428.06,520159.64,5006426.04,520160.04,5006424.72,520156.83,5006418.93,520161.67,5006426.31,520154.18,79.49447095
52,5006308.7,520327.4,5006309.05,520327.31,5006310.86,520325.78,5006309.39,520322.42,5006314.62,520323.91,5006309.38,520319.36,107.5180877
53,5006081.7,519717.5,5006080.98,519717.91,5006083.9,519719.95,5006080.46,519714.45,5006073.2,519724.6,5006096.33,519702.99,111.528184
54,5005884.5,519496.9,5005884.36,519496.95,5005886.41,519498.5,5005884.12,519493.27,5005875.02,519493.83,5005878.69,519498.7,81.41954372
55,5006142.4,519511.1,5006142.68,519511.57,5006141.26,519511.47,5006143.91,519512.99,5006150.96,519518.19,5006135.49,519512.7,114.7919034
56,5006299,519328.7,5006299.24,519328.64,5006299.32,519327.27,5006302.17,519328.86,5006301.93,519336.31,5006308.32,519330.78,95.17703019
57,5006434.1,519497.9,5006434.84,519497.9,5006435.77,519499.83,5006433.66,519497.32,5006436.72,519493.38,5006443.93,519489.04,148.3192271
